Parameters: 21,070,378
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[240/1010] 	| 89.55 | 98.30 | 61.41 | 86.11 |
[241/1010] 	| 89.81 | 98.37 | 62.30 | 87.50 |
[242/1010] 	| 90.26 | 98.24 | 61.81 | 85.81 |
[243/1010] 	| 89.62 | 98.20 | 60.52 | 85.71 |
[244/1010] 	| 90.51 | 98.53 | 62.60 | 86.51 |
[245/1010] 	| 90.15 | 98.41 | 61.21 | 84.62 |
[246/1010] 	| 90.55 | 98.50 | 59.72 | 85.22 |
[247/1010] 	| 89.97 | 98.40 | 58.93 | 85.81 |
[248/1010] 	| 90.81 | 98.51 | 61.01 | 85.12 |
[249/1010] 	| 90.55 | 98.74 | 60.32 | 86.41 |
[250/1010] 	| 89.79 | 98.48 | 60.62 | 86.81 |
[251/1010] 	| 91.13 | 98.33 | 60.42 | 86.21 |
[252/1010] 	| 90.44 | 98.55 | 61.41 | 85.71 |
[253/1010] 	| 89.68 | 98.31 | 60.71 | 86.11 |
[254/1010] 	| 90.07 | 98.30 | 60.42 | 86.21 |
[255/1010] 	| 90.16 | 98.49 | 60.62 | 86.11 |
[256/1010] 	| 90.88 | 98.35 | 61.51 | 85.42 |
[257/1010] 	| 90.02 | 98.37 | 61.01 | 88.00 |
[258/1010] 	| 90.27 | 98.22 | 60.32 | 85.42 |
[259/1010] 	| 90.76 | 98.54 | 60.32 | 86.61 |
[260/1010] 	| 90.10 | 98.41 | 58.63 | 85.12 |
[261/1010] 	| 90.18 | 98.39 | 61.01 | 86.41 |
[262/1010] 	| 91.14 | 98.62 | 60.42 | 85.42 |
[263/1010] 	| 91.39 | 98.32 | 60.91 | 86.21 |
[264/1010] 	| 90.58 | 98.28 | 60.62 | 86.81 |
[265/1010] 	| 90.32 | 98.50 | 61.01 | 86.51 |
[266/1010] 	| 90.69 | 98.58 | 60.52 | 85.91 |
[267/1010] 	| 90.58 | 98.27 | 61.21 | 85.42 |
[268/1010] 	| 90.78 | 98.67 | 57.74 | 84.03 |
[269/1010] 	| 90.89 | 98.60 | 59.33 | 84.92 |
