Parameters: 21,070,385
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[307/1010] 	| 93.48 | 99.15 | 70.34 | 90.08 |
[308/1010] 	| 94.11 | 99.34 | 70.14 | 90.97 |
[309/1010] 	| 94.51 | 99.23 | 70.73 | 90.38 |
[310/1010] 	| 94.18 | 99.25 | 70.63 | 91.17 |
[311/1010] 	| 94.17 | 99.24 | 71.53 | 90.58 |
[312/1010] 	| 93.99 | 99.23 | 69.05 | 90.18 |
[313/1010] 	| 94.05 | 99.18 | 69.84 | 89.98 |
[314/1010] 	| 93.77 | 99.31 | 70.34 | 91.57 |
[315/1010] 	| 94.55 | 99.38 | 67.36 | 90.77 |
[316/1010] 	| 94.48 | 99.28 | 69.44 | 90.77 |
[317/1010] 	| 94.42 | 99.39 | 70.14 | 90.08 |
[318/1010] 	| 94.65 | 99.40 | 69.84 | 90.67 |
[319/1010] 	| 94.21 | 99.27 | 73.02 | 92.26 |
[320/1010] 	| 94.28 | 99.29 | 70.73 | 89.58 |
[321/1010] 	| 94.08 | 99.34 | 71.43 | 90.67 |
[322/1010] 	| 94.34 | 99.28 | 70.73 | 90.67 |
[323/1010] 	| 94.25 | 99.25 | 68.85 | 91.07 |
[324/1010] 	| 94.13 | 99.22 | 69.74 | 91.37 |
[325/1010] 	| 94.74 | 99.51 | 73.02 | 91.67 |
[326/1010] 	| 94.32 | 99.28 | 71.23 | 91.07 |
[327/1010] 	| 94.34 | 99.25 | 72.02 | 91.57 |
[328/1010] 	| 94.53 | 99.28 | 69.84 | 89.29 |
[329/1010] 	| 93.88 | 99.30 | 69.15 | 90.97 |
[330/1010] 	| 95.03 | 99.43 | 70.24 | 89.98 |
[331/1010] 	| 94.44 | 99.38 | 69.25 | 90.87 |
[332/1010] 	| 94.46 | 99.23 | 71.13 | 91.87 |
[333/1010] 	| 93.95 | 99.20 | 69.84 | 91.47 |
[334/1010] 	| 94.32 | 99.25 | 69.35 | 90.97 |
[335/1010] 	| 95.06 | 99.44 | 68.65 | 91.07 |
[336/1010] 	| 94.47 | 99.43 | 69.25 | 90.58 |
[337/1010] 	| 94.78 | 99.38 | 70.63 | 91.27 |
[338/1010] 	| 94.44 | 99.37 | 70.63 | 89.78 |
[339/1010] 	| 94.83 | 99.39 | 71.33 | 91.87 |
[340/1010] 	| 94.44 | 99.28 | 68.15 | 90.08 |
[341/1010] 	| 94.44 | 99.35 | 71.43 | 89.78 |
[342/1010] 	| 94.47 | 99.25 | 69.84 | 89.98 |
[343/1010] 	| 94.77 | 99.38 | 69.74 | 91.96 |
[344/1010] 	| 94.60 | 99.22 | 70.93 | 90.87 |
[345/1010] 	| 95.05 | 99.44 | 68.95 | 90.28 |
[346/1010] 	| 94.21 | 99.18 | 69.15 | 90.97 |
[347/1010] 	| 94.87 | 99.33 | 70.73 | 91.27 |
[348/1010] 	| 94.62 | 99.40 | 71.03 | 91.57 |
[349/1010] 	| 95.28 | 99.48 | 70.83 | 91.37 |
[350/1010] 	| 95.03 | 99.35 | 69.84 | 90.38 |
[351/1010] 	| 94.63 | 99.47 | 70.63 | 90.18 |
[352/1010] 	| 94.52 | 99.27 | 71.23 | 90.48 |
[353/1010] 	| 94.46 | 99.57 | 71.03 | 92.06 |
[354/1010] 	| 94.86 | 99.32 | 71.73 | 90.77 |
[355/1010] 	| 94.50 | 99.41 | 70.44 | 90.28 |
[356/1010] 	| 94.64 | 99.38 | 71.23 | 90.28 |
[357/1010] 	| 95.08 | 99.38 | 69.54 | 88.99 |
[358/1010] 	| 94.66 | 99.52 | 69.84 | 91.17 |
[359/1010] 	| 94.83 | 99.50 | 71.33 | 91.07 |
[360/1010] 	| 95.23 | 99.40 | 68.85 | 90.87 |
[361/1010] 	| 94.81 | 99.48 | 69.94 | 89.98 |
[362/1010] 	| 95.20 | 99.46 | 69.25 | 89.98 |
[363/1010] 	| 95.48 | 99.44 | 70.54 | 91.07 |
[364/1010] 	| 95.00 | 99.43 | 69.84 | 89.58 |
[365/1010] 	| 95.20 | 99.35 | 72.22 | 91.47 |
[366/1010] 	| 94.77 | 99.27 | 69.35 | 90.87 |
[367/1010] 	| 95.11 | 99.43 | 68.95 | 91.47 |
[368/1010] 	| 94.56 | 99.22 | 72.32 | 91.27 |
[369/1010] 	| 95.43 | 99.39 | 68.55 | 89.48 |
[370/1010] 	| 94.48 | 99.35 | 70.63 | 91.37 |
[371/1010] 	| 95.21 | 99.50 | 69.15 | 89.09 |
[372/1010] 	| 94.52 | 99.40 | 70.14 | 90.48 |
[373/1010] 	| 95.62 | 99.41 | 70.83 | 89.98 |
[374/1010] 	| 95.53 | 99.50 | 71.73 | 90.58 |
[375/1010] 	| 95.79 | 99.33 | 71.83 | 90.87 |
[376/1010] 	| 94.66 | 99.31 | 73.31 | 91.67 |
[377/1010] 	| 94.68 | 99.54 | 70.54 | 90.87 |
[378/1010] 	| 95.14 | 99.23 | 71.33 | 91.17 |
[379/1010] 	| 95.43 | 99.63 | 71.43 | 90.97 |
[380/1010] 	| 95.01 | 99.43 | 72.12 | 90.08 |
[381/1010] 	| 94.90 | 99.49 | 71.33 | 90.97 |
[382/1010] 	| 95.34 | 99.52 | 69.44 | 91.07 |
[383/1010] 	| 95.40 | 99.51 | 70.24 | 90.28 |
[384/1010] 	| 95.13 | 99.47 | 71.23 | 91.57 |
[385/1010] 	| 95.28 | 99.40 | 70.34 | 90.08 |
[386/1010] 	| 94.98 | 99.52 | 69.74 | 90.97 |
[387/1010] 	| 95.51 | 99.46 | 70.34 | 92.56 |
[388/1010] 	| 95.05 | 99.33 | 67.66 | 89.98 |
[389/1010] 	| 95.72 | 99.44 | 71.83 | 90.87 |
[390/1010] 	| 95.40 | 99.38 | 69.94 | 90.67 |
[391/1010] 	| 95.55 | 99.51 | 69.15 | 90.18 |
[392/1010] 	| 95.82 | 99.50 | 69.15 | 89.88 |
[393/1010] 	| 95.43 | 99.39 | 67.96 | 91.17 |
[394/1010] 	| 95.84 | 99.53 | 70.24 | 90.18 |
[395/1010] 	| 95.46 | 99.46 | 71.13 | 91.37 |
[396/1010] 	| 95.56 | 99.40 | 71.23 | 89.98 |
[397/1010] 	| 95.10 | 99.39 | 70.44 | 90.08 |
[398/1010] 	| 95.37 | 99.51 | 70.93 | 90.58 |
[399/1010] 	| 95.97 | 99.46 | 72.32 | 91.37 |
[400/1010] 	| 95.30 | 99.44 | 70.04 | 90.38 |
[401/1010] 	| 95.75 | 99.69 | 71.23 | 90.87 |
[402/1010] 	| 95.56 | 99.50 | 72.22 | 89.88 |
[403/1010] 	| 95.54 | 99.43 | 68.85 | 90.08 |
