Parameters: 21,070,385
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[217/1010] 	| 65.05 | 90.17 | 56.15 | 82.64 |
[218/1010] 	| 63.30 | 89.09 | 54.37 | 84.13 |
[219/1010] 	| 64.62 | 89.98 | 55.06 | 82.54 |
[220/1010] 	| 64.48 | 89.77 | 56.55 | 83.13 |
[221/1010] 	| 64.78 | 89.51 | 54.17 | 83.23 |
[222/1010] 	| 65.42 | 89.77 | 53.47 | 82.44 |
[223/1010] 	| 64.75 | 89.98 | 57.44 | 85.32 |
[224/1010] 	| 66.59 | 90.85 | 53.67 | 83.83 |
[225/1010] 	| 64.81 | 89.59 | 52.68 | 84.23 |
[226/1010] 	| 64.25 | 89.68 | 52.78 | 82.94 |
[227/1010] 	| 65.25 | 90.18 | 56.94 | 84.92 |
[228/1010] 	| 65.34 | 89.80 | 53.97 | 81.85 |
[229/1010] 	| 66.10 | 90.94 | 55.56 | 83.53 |
[230/1010] 	| 65.65 | 90.40 | 55.75 | 83.13 |
[231/1010] 	| 66.07 | 90.84 | 53.97 | 82.94 |
[232/1010] 	| 67.14 | 91.29 | 53.77 | 82.24 |
[233/1010] 	| 67.33 | 91.11 | 55.65 | 84.03 |
[234/1010] 	| 65.99 | 90.57 | 54.27 | 82.54 |
[235/1010] 	| 66.89 | 90.67 | 54.76 | 83.13 |
[236/1010] 	| 66.08 | 90.85 | 57.24 | 83.83 |
[237/1010] 	| 66.46 | 90.61 | 55.85 | 84.23 |
[238/1010] 	| 67.13 | 91.45 | 56.35 | 85.22 |
[239/1010] 	| 67.39 | 91.45 | 51.79 | 80.85 |
[240/1010] 	| 66.89 | 90.83 | 54.66 | 84.52 |
[241/1010] 	| 67.22 | 91.45 | 55.36 | 83.53 |
[242/1010] 	| 67.96 | 91.78 | 54.86 | 82.44 |
[243/1010] 	| 67.63 | 91.36 | 55.95 | 83.04 |
[244/1010] 	| 68.03 | 91.90 | 53.67 | 83.63 |
[245/1010] 	| 67.90 | 91.37 | 52.48 | 83.93 |
[246/1010] 	| 68.31 | 91.76 | 54.96 | 83.43 |
[247/1010] 	| 68.58 | 91.66 | 52.48 | 82.94 |
[248/1010] 	| 68.19 | 92.10 | 53.57 | 83.23 |
[249/1010] 	| 69.31 | 92.54 | 53.97 | 82.54 |
[250/1010] 	| 68.26 | 91.67 | 53.77 | 82.84 |
[251/1010] 	| 68.45 | 91.90 | 54.46 | 82.54 |
[252/1010] 	| 69.57 | 92.00 | 54.07 | 83.73 |
[253/1010] 	| 68.74 | 91.41 | 55.26 | 84.13 |
[254/1010] 	| 69.63 | 92.35 | 55.06 | 81.65 |
[255/1010] 	| 69.83 | 92.65 | 56.55 | 82.84 |
[256/1010] 	| 69.95 | 92.54 | 54.37 | 83.53 |
[257/1010] 	| 69.58 | 92.70 | 56.85 | 83.53 |
[258/1010] 	| 70.05 | 92.65 | 53.08 | 83.13 |
[259/1010] 	| 70.76 | 93.03 | 52.48 | 82.94 |
[260/1010] 	| 69.34 | 92.34 | 51.29 | 84.03 |
[261/1010] 	| 70.13 | 92.86 | 53.77 | 83.53 |
[262/1010] 	| 70.01 | 92.76 | 55.06 | 84.23 |
[263/1010] 	| 70.56 | 93.17 | 55.95 | 81.94 |
[264/1010] 	| 69.43 | 92.75 | 53.47 | 82.74 |
[265/1010] 	| 70.87 | 92.90 | 54.96 | 83.33 |
[266/1010] 	| 69.27 | 92.77 | 54.66 | 85.71 |
[267/1010] 	| 70.82 | 93.10 | 52.98 | 81.15 |
[268/1010] 	| 69.88 | 92.52 | 55.46 | 83.83 |
[269/1010] 	| 72.29 | 93.16 | 56.05 | 85.12 |
[270/1010] 	| 71.60 | 93.69 | 54.17 | 82.84 |
[271/1010] 	| 71.04 | 93.49 | 55.46 | 83.13 |
[272/1010] 	| 71.02 | 93.22 | 54.27 | 84.42 |
[273/1010] 	| 71.49 | 93.59 | 55.56 | 82.74 |
[274/1010] 	| 72.20 | 93.78 | 54.86 | 83.43 |
[275/1010] 	| 72.36 | 93.36 | 54.46 | 84.13 |
[276/1010] 	| 70.94 | 92.33 | 54.46 | 81.75 |
[277/1010] 	| 72.22 | 93.56 | 54.17 | 83.73 |
[278/1010] 	| 72.15 | 94.07 | 53.87 | 81.15 |
[279/1010] 	| 73.49 | 94.62 | 54.86 | 81.35 |
[280/1010] 	| 73.74 | 93.89 | 51.88 | 81.35 |
[281/1010] 	| 71.39 | 93.41 | 54.56 | 82.94 |
[282/1010] 	| 72.74 | 94.16 | 55.06 | 82.84 |
[283/1010] 	| 72.12 | 93.77 | 53.97 | 83.63 |
[284/1010] 	| 71.59 | 93.58 | 54.17 | 82.44 |
[285/1010] 	| 72.98 | 94.41 | 53.57 | 84.23 |
[286/1010] 	| 71.56 | 93.51 | 55.06 | 84.13 |
[287/1010] 	| 72.52 | 93.93 | 54.86 | 83.04 |
[288/1010] 	| 73.44 | 94.66 | 54.27 | 82.24 |
[289/1010] 	| 73.09 | 94.07 | 55.36 | 81.55 |
[290/1010] 	| 73.93 | 94.52 | 54.96 | 82.24 |
[291/1010] 	| 73.22 | 94.32 | 49.70 | 78.67 |
[292/1010] 	| 74.18 | 94.29 | 55.06 | 81.45 |
[293/1010] 	| 73.45 | 94.01 | 54.37 | 83.13 |
[294/1010] 	| 73.55 | 94.43 | 56.85 | 81.45 |
[295/1010] 	| 73.49 | 94.37 | 54.96 | 84.42 |
[296/1010] 	| 74.03 | 94.25 | 55.95 | 82.44 |
[297/1010] 	| 74.29 | 94.14 | 54.37 | 84.52 |
[298/1010] 	| 74.20 | 94.61 | 51.09 | 82.54 |
[299/1010] 	| 74.12 | 94.61 | 55.16 | 82.64 |
