Parameters: 32,715,210
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[239/1010] 	| 62.61 | 90.06 | 50.89 | 81.35 |
[240/1010] 	| 62.67 | 90.15 | 50.60 | 79.86 |
[241/1010] 	| 63.35 | 90.30 | 46.43 | 79.46 |
[242/1010] 	| 64.12 | 90.20 | 50.20 | 80.85 |
[243/1010] 	| 62.39 | 89.66 | 47.52 | 78.08 |
[244/1010] 	| 61.01 | 89.06 | 50.69 | 81.55 |
[245/1010] 	| 63.26 | 90.14 | 46.03 | 78.08 |
[246/1010] 	| 63.02 | 90.05 | 49.01 | 79.07 |
[247/1010] 	| 61.97 | 89.59 | 48.71 | 81.35 |
[248/1010] 	| 64.31 | 90.29 | 48.31 | 80.75 |
[249/1010] 	| 60.99 | 88.70 | 46.43 | 79.17 |
[250/1010] 	| 61.71 | 89.36 | 47.22 | 80.95 |
[251/1010] 	| 62.78 | 90.38 | 50.00 | 80.85 |
[252/1010] 	| 63.53 | 90.31 | 49.60 | 80.75 |
[253/1010] 	| 64.57 | 90.90 | 50.69 | 80.95 |
[254/1010] 	| 63.92 | 91.07 | 49.11 | 81.15 |
[255/1010] 	| 64.60 | 90.65 | 49.40 | 79.96 |
[256/1010] 	| 64.01 | 90.83 | 49.01 | 79.66 |
[257/1010] 	| 64.13 | 90.70 | 48.91 | 80.06 |
[258/1010] 	| 63.45 | 90.32 | 48.41 | 79.66 |
[259/1010] 	| 64.37 | 90.58 | 48.51 | 80.26 |
[260/1010] 	| 62.81 | 89.94 | 47.92 | 80.56 |
[261/1010] 	| 64.96 | 91.07 | 45.93 | 78.97 |
[262/1010] 	| 63.29 | 89.97 | 48.71 | 79.46 |
[263/1010] 	| 63.79 | 90.50 | 48.61 | 78.08 |
[264/1010] 	| 64.44 | 91.03 | 49.70 | 80.36 |
[265/1010] 	| 63.87 | 90.57 | 45.44 | 78.97 |
[266/1010] 	| 64.19 | 91.26 | 46.63 | 79.56 |
[267/1010] 	| 62.51 | 90.12 | 49.01 | 80.46 |
[268/1010] 	| 65.00 | 90.93 | 47.42 | 81.55 |
[269/1010] 	| 66.37 | 91.74 | 48.81 | 80.95 |
[270/1010] 	| 65.39 | 91.60 | 48.02 | 80.75 |
[271/1010] 	| 64.08 | 90.97 | 48.91 | 81.35 |
[272/1010] 	| 66.45 | 91.93 | 45.93 | 79.76 |
[273/1010] 	| 64.68 | 91.28 | 45.54 | 78.97 |
[274/1010] 	| 65.01 | 91.00 | 42.56 | 77.88 |
[275/1010] 	| 65.67 | 91.67 | 46.92 | 78.08 |
[276/1010] 	| 65.44 | 91.00 | 47.62 | 81.05 |
[277/1010] 	| 64.77 | 91.49 | 48.02 | 79.76 |
[278/1010] 	| 65.20 | 91.08 | 51.19 | 80.85 |
[279/1010] 	| 65.26 | 90.71 | 47.32 | 79.46 |
[280/1010] 	| 65.19 | 91.38 | 48.12 | 81.15 |
[281/1010] 	| 65.00 | 91.64 | 46.03 | 79.07 |
[282/1010] 	| 65.87 | 91.49 | 45.24 | 79.66 |
[283/1010] 	| 63.38 | 90.56 | 46.63 | 80.26 |
[284/1010] 	| 65.80 | 91.77 | 47.92 | 80.56 |
[285/1010] 	| 65.31 | 91.67 | 48.21 | 79.27 |
[286/1010] 	| 65.69 | 91.59 | 46.23 | 79.17 |
[287/1010] 	| 66.81 | 91.83 | 45.04 | 78.47 |
[288/1010] 	| 63.69 | 90.65 | 45.24 | 77.78 |
[289/1010] 	| 65.32 | 91.97 | 50.20 | 80.36 |
[290/1010] 	| 67.66 | 92.56 | 49.60 | 80.65 |
[291/1010] 	| 68.31 | 92.49 | 47.52 | 80.65 |
[292/1010] 	| 65.55 | 91.81 | 46.43 | 81.05 |
[293/1010] 	| 68.26 | 92.87 | 50.10 | 79.86 |
[294/1010] 	| 66.54 | 92.48 | 47.82 | 78.67 |
[295/1010] 	| 68.54 | 92.94 | 46.73 | 80.16 |
[296/1010] 	| 67.66 | 92.56 | 45.73 | 79.27 |
[297/1010] 	| 65.90 | 91.74 | 42.96 | 76.98 |
[298/1010] 	| 66.05 | 91.83 | 47.72 | 78.57 |
[299/1010] 	| 65.97 | 91.54 | 48.41 | 80.95 |
[300/1010] 	| 69.11 | 93.41 | 52.38 | 79.96 |
[301/1010] 	| 68.98 | 93.09 | 46.53 | 81.25 |
[302/1010] 	| 68.64 | 93.33 | 48.71 | 81.35 |
[303/1010] 	| 68.37 | 92.75 | 47.02 | 80.56 |
[304/1010] 	| 65.93 | 91.89 | 48.51 | 80.56 |
[305/1010] 	| 66.34 | 92.02 | 46.23 | 79.07 |
[306/1010] 	| 66.03 | 91.64 | 49.40 | 80.26 |
[307/1010] 	| 68.56 | 92.78 | 47.02 | 79.17 |
[308/1010] 	| 68.31 | 92.73 | 48.02 | 79.56 |
[309/1010] 	| 69.12 | 93.12 | 46.03 | 77.98 |
[310/1010] 	| 67.73 | 92.97 | 47.32 | 78.17 |
[311/1010] 	| 69.15 | 93.23 | 47.12 | 79.27 |
[312/1010] 	| 66.61 | 92.55 | 48.61 | 78.27 |
[313/1010] 	| 69.36 | 93.41 | 46.03 | 78.27 |
[314/1010] 	| 69.84 | 93.44 | 47.32 | 79.46 |
[315/1010] 	| 67.25 | 92.44 | 46.33 | 76.29 |
[316/1010] 	| 66.17 | 92.48 | 46.43 | 77.88 |
[317/1010] 	| 69.70 | 93.55 | 47.02 | 80.46 |
[318/1010] 	| 69.62 | 93.85 | 46.53 | 79.96 |
[319/1010] 	| 69.35 | 93.65 | 49.70 | 80.85 |
[320/1010] 	| 69.80 | 93.57 | 45.24 | 78.37 |
[321/1010] 	| 68.72 | 92.75 | 50.00 | 79.56 |
[322/1010] 	| 68.92 | 93.04 | 46.83 | 77.68 |
[323/1010] 	| 68.55 | 92.76 | 48.71 | 77.98 |
[324/1010] 	| 68.65 | 93.59 | 46.63 | 78.77 |
[325/1010] 	| 68.52 | 92.90 | 47.02 | 81.65 |
[326/1010] 	| 68.47 | 93.45 | 47.22 | 77.18 |
[327/1010] 	| 73.21 | 94.81 | 47.52 | 77.38 |
[328/1010] 	| 69.52 | 93.33 | 49.01 | 79.17 |
[329/1010] 	| 69.21 | 92.82 | 46.92 | 77.38 |
[330/1010] 	| 66.58 | 92.27 | 47.42 | 79.17 |
[331/1010] 	| 68.96 | 93.25 | 46.13 | 78.87 |
[332/1010] 	| 69.73 | 93.58 | 46.13 | 79.27 |
