Parameters: 14,139,050
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[261/1010] 	| 83.42 | 97.24 | 63.59 | 88.00 |
[262/1010] 	| 83.90 | 97.34 | 63.89 | 88.79 |
[263/1010] 	| 83.87 | 97.35 | 61.71 | 87.50 |
[264/1010] 	| 83.91 | 97.32 | 61.51 | 88.39 |
[265/1010] 	| 83.46 | 97.23 | 62.60 | 87.60 |
[266/1010] 	| 83.46 | 97.32 | 62.80 | 88.89 |
[267/1010] 	| 84.13 | 97.36 | 63.79 | 87.40 |
[268/1010] 	| 81.93 | 97.06 | 61.71 | 87.70 |
[269/1010] 	| 83.73 | 97.36 | 60.71 | 87.40 |
[270/1010] 	| 82.61 | 96.98 | 62.30 | 87.50 |
[271/1010] 	| 84.85 | 97.59 | 61.71 | 85.71 |
[272/1010] 	| 84.20 | 97.70 | 64.88 | 89.38 |
[273/1010] 	| 84.38 | 97.61 | 62.60 | 87.60 |
[274/1010] 	| 83.20 | 97.22 | 62.90 | 89.38 |
[275/1010] 	| 85.22 | 97.72 | 66.07 | 88.39 |
[276/1010] 	| 84.20 | 97.52 | 62.60 | 88.10 |
[277/1010] 	| 84.48 | 97.64 | 62.80 | 86.71 |
[278/1010] 	| 84.66 | 97.36 | 64.29 | 88.00 |
[279/1010] 	| 84.90 | 97.79 | 61.61 | 87.90 |
[280/1010] 	| 83.64 | 97.45 | 62.80 | 88.10 |
[281/1010] 	| 83.76 | 97.12 | 59.92 | 86.71 |
[282/1010] 	| 84.33 | 97.29 | 65.38 | 87.80 |
[283/1010] 	| 86.15 | 97.98 | 63.99 | 87.30 |
[284/1010] 	| 85.26 | 97.83 | 62.30 | 88.49 |
[285/1010] 	| 85.11 | 97.75 | 62.10 | 85.71 |
[286/1010] 	| 84.74 | 97.78 | 60.81 | 87.80 |
[287/1010] 	| 83.51 | 97.34 | 62.20 | 87.30 |
[288/1010] 	| 85.12 | 97.74 | 62.30 | 86.90 |
[289/1010] 	| 86.29 | 98.06 | 65.77 | 86.71 |
[290/1010] 	| 84.90 | 97.86 | 60.91 | 86.61 |
[291/1010] 	| 84.53 | 97.66 | 63.39 | 87.60 |
[292/1010] 	| 86.54 | 98.25 | 63.59 | 87.10 |
[293/1010] 	| 85.51 | 97.86 | 63.19 | 86.51 |
[294/1010] 	| 86.53 | 98.15 | 63.59 | 88.29 |
[295/1010] 	| 85.31 | 97.92 | 61.71 | 86.51 |
[296/1010] 	| 86.21 | 98.10 | 64.19 | 88.39 |
[297/1010] 	| 86.01 | 97.93 | 62.30 | 87.60 |
[298/1010] 	| 85.91 | 97.93 | 63.99 | 88.59 |
[299/1010] 	| 87.03 | 98.13 | 63.19 | 86.31 |
[300/1010] 	| 85.87 | 97.79 | 62.70 | 87.70 |
[301/1010] 	| 86.81 | 98.05 | 64.78 | 87.50 |
[302/1010] 	| 85.35 | 97.70 | 65.77 | 88.59 |
[303/1010] 	| 86.89 | 98.41 | 63.99 | 87.00 |
[304/1010] 	| 88.31 | 98.39 | 62.20 | 86.71 |
[305/1010] 	| 87.42 | 98.18 | 66.27 | 88.19 |
[306/1010] 	| 85.32 | 97.93 | 61.61 | 87.20 |
[307/1010] 	| 86.53 | 98.24 | 62.20 | 87.50 |
[308/1010] 	| 86.14 | 97.93 | 62.70 | 86.81 |
[309/1010] 	| 87.88 | 98.21 | 63.89 | 87.00 |
[310/1010] 	| 86.53 | 98.08 | 65.97 | 88.19 |
[311/1010] 	| 84.78 | 97.72 | 63.29 | 87.60 |
[312/1010] 	| 87.20 | 98.30 | 62.50 | 89.09 |
[313/1010] 	| 87.34 | 98.24 | 61.81 | 88.29 |
[314/1010] 	| 86.99 | 98.34 | 63.89 | 88.29 |
[315/1010] 	| 87.42 | 98.42 | 62.40 | 87.00 |
[316/1010] 	| 87.58 | 98.32 | 64.09 | 88.39 |
[317/1010] 	| 88.59 | 98.44 | 65.67 | 87.60 |
[318/1010] 	| 86.73 | 98.32 | 62.30 | 87.30 |
[319/1010] 	| 87.19 | 98.23 | 64.88 | 87.90 |
[320/1010] 	| 87.47 | 98.24 | 64.29 | 88.29 |
[321/1010] 	| 87.43 | 98.14 | 61.41 | 87.10 |
[322/1010] 	| 87.36 | 98.33 | 63.49 | 88.49 |
[323/1010] 	| 88.56 | 98.50 | 63.69 | 88.69 |
[324/1010] 	| 88.10 | 98.50 | 63.39 | 87.70 |
[325/1010] 	| 88.06 | 98.45 | 67.06 | 89.58 |
[326/1010] 	| 87.63 | 98.27 | 65.18 | 89.78 |
[327/1010] 	| 87.13 | 98.14 | 63.29 | 87.30 |
[328/1010] 	| 88.55 | 98.37 | 64.68 | 88.00 |
[329/1010] 	| 86.77 | 98.04 | 66.77 | 87.10 |
[330/1010] 	| 88.35 | 98.41 | 65.38 | 88.69 |
[331/1010] 	| 88.38 | 98.40 | 61.90 | 88.19 |
[332/1010] 	| 88.20 | 98.37 | 63.49 | 87.30 |
[333/1010] 	| 88.02 | 98.63 | 62.70 | 86.51 |
[334/1010] 	| 88.79 | 98.34 | 63.69 | 87.10 |
[335/1010] 	| 87.28 | 98.14 | 63.89 | 88.10 |
[336/1010] 	| 88.78 | 98.57 | 64.48 | 88.19 |
[337/1010] 	| 88.58 | 98.47 | 64.29 | 88.19 |
[338/1010] 	| 89.01 | 98.54 | 62.70 | 88.00 |
[339/1010] 	| 88.20 | 98.41 | 62.40 | 87.00 |
[340/1010] 	| 88.75 | 98.51 | 63.69 | 88.19 |
[341/1010] 	| 87.87 | 98.18 | 64.29 | 88.00 |
[342/1010] 	| 88.92 | 98.58 | 64.78 | 88.19 |
[343/1010] 	| 89.05 | 98.39 | 65.18 | 88.49 |
[344/1010] 	| 88.07 | 98.52 | 61.90 | 87.20 |
[345/1010] 	| 88.27 | 98.40 | 63.39 | 87.80 |
[346/1010] 	| 88.18 | 98.55 | 62.60 | 85.91 |
[347/1010] 	| 88.57 | 98.52 | 67.66 | 88.10 |
[348/1010] 	| 88.46 | 98.57 | 62.70 | 87.40 |
[349/1010] 	| 88.31 | 98.39 | 65.08 | 87.80 |
[350/1010] 	| 88.79 | 98.74 | 62.10 | 87.20 |
[351/1010] 	| 89.42 | 98.63 | 65.08 | 87.10 |
[352/1010] 	| 88.90 | 98.55 | 63.49 | 87.10 |
[353/1010] 	| 89.48 | 98.62 | 65.18 | 87.90 |
[354/1010] 	| 88.42 | 98.57 | 64.58 | 88.39 |
[355/1010] 	| 88.82 | 98.63 | 63.79 | 87.70 |
[356/1010] 	| 90.00 | 98.89 | 63.69 | 88.89 |
[357/1010] 	| 88.62 | 98.51 | 65.87 | 87.60 |
[358/1010] 	| 88.67 | 98.60 | 63.29 | 87.60 |
[359/1010] 	| 88.60 | 98.34 | 63.29 | 88.29 |
[360/1010] 	| 88.81 | 98.49 | 62.90 | 87.60 |
[361/1010] 	| 88.86 | 98.41 | 64.19 | 88.29 |
[362/1010] 	| 88.82 | 98.47 | 63.69 | 88.29 |
[363/1010] 	| 89.36 | 98.53 | 63.79 | 87.90 |
[364/1010] 	| 89.29 | 98.54 | 65.28 | 88.79 |
[365/1010] 	| 88.80 | 98.68 | 65.08 | 88.39 |
[366/1010] 	| 89.37 | 98.78 | 64.98 | 88.10 |
[367/1010] 	| 88.27 | 98.21 | 62.70 | 87.90 |
[368/1010] 	| 89.51 | 98.82 | 63.99 | 86.61 |
[369/1010] 	| 89.52 | 98.59 | 65.08 | 88.00 |
